測試次數,期間,訊號,樣本數,Y1(報酬率),Y2(波動率),Y3(夏普)
第 67 次,2015-2019,X2,152974,-0.333803,0.544711,-0.6128
第 67 次,2015-2019,X3,45243,-0.440960,0.555824,-0.7933
第 67 次,2020-2026,X1,586664,-0.444111,0.569164,-0.7803
第 67 次,2020-2026,X2,288310,-0.308322,0.512097,-0.6021
第 67 次,2020-2026,X3,92934,-0.372767,0.513845,-0.7254
第 68 次,2015-2019,X1,300980,-0.523293,0.613818,-0.8525
第 68 次,2015-2019,X2,152914,-0.337002,0.548030,-0.6149
第 68 次,2015-2019,X3,44986,-0.438990,0.557914,-0.7868
第 68 次,2020-2026,X1,588201,-0.445775,0.570609,-0.7812
第 68 次,2020-2026,X2,288479,-0.307395,0.514605,-0.5973
第 68 次,2020-2026,X3,92332,-0.368075,0.511751,-0.7192
第 69 次,2015-2019,X1,300697,-0.523533,0.613045,-0.8540
第 69 次,2015-2019,X2,152653,-0.337090,0.546372,-0.6170
第 69 次,2015-2019,X3,44959,-0.442063,0.559034,-0.7908
第 69 次,2020-2026,X1,588678,-0.443992,0.569923,-0.7790
第 69 次,2020-2026,X2,286996,-0.308519,0.513647,-0.6006
第 69 次,2020-2026,X3,92423,-0.369212,0.510963,-0.7226
第 70 次,2015-2019,X1,300708,-0.525593,0.615587,-0.8538
第 70 次,2015-2019,X2,153010,-0.337307,0.546296,-0.6174
第 70 次,2015-2019,X3,44738,-0.442937,0.558540,-0.7930
第 70 次,2020-2026,X1,588119,-0.444473,0.569877,-0.7799
第 70 次,2020-2026,X2,288206,-0.308302,0.512416,-0.6017
第 70 次,2020-2026,X3,92249,-0.373436,0.514645,-0.7256
第 71 次,2015-2019,X1,300354,-0.526811,0.616021,-0.8552
第 71 次,2015-2019,X2,152702,-0.334505,0.548681,-0.6097
第 71 次,2015-2019,X3,45305,-0.440158,0.552698,-0.7964
第 71 次,2020-2026,X1,587523,-0.443884,0.569344,-0.7796
第 71 次,2020-2026,X2,287870,-0.306698,0.510638,-0.6006
第 71 次,2020-2026,X3,92469,-0.369702,0.512625,-0.7212
第 72 次,2015-2019,X1,300459,-0.525817,0.614439,-0.8558
第 72 次,2015-2019,X2,152774,-0.335964,0.548024,-0.6130
第 72 次,2015-2019,X3,45090,-0.443009,0.554629,-0.7987
第 72 次,2020-2026,X1,586853,-0.443495,0.569366,-0.7789
第 72 次,2020-2026,X2,287975,-0.307173,0.512943,-0.5988
第 72 次,2020-2026,X3,92308,-0.372185,0.515126,-0.7225
第 73 次,2015-2019,X1,300689,-0.526246,0.614503,-0.8564
第 73 次,2015-2019,X2,152873,-0.336253,0.548730,-0.6128
第 73 次,2015-2019,X3,44767,-0.440384,0.555763,-0.7924
第 73 次,2020-2026,X1,587558,-0.443561,0.569312,-0.7791
第 73 次,2020-2026,X2,288275,-0.306921,0.512663,-0.5987
第 73 次,2020-2026,X3,92645,-0.369377,0.510010,-0.7243
第 74 次,2015-2019,X1,300979,-0.526198,0.614445,-0.8564
第 74 次,2015-2019,X2,153037,-0.336977,0.546526,-0.6166
第 74 次,2015-2019,X3,45375,-0.444126,0.557171,-0.7971
第 74 次,2020-2026,X1,587027,-0.444653,0.569622,-0.7806
第 74 次,2020-2026,X2,288690,-0.307051,0.511530,-0.6003
第 74 次,2020-2026,X3,92581,-0.371877,0.514973,-0.7221
第 75 次,2015-2019,X1,300084,-0.525318,0.613092,-0.8568
第 75 次,2015-2019,X2,152921,-0.339450,0.549772,-0.6174
第 75 次,2015-2019,X3,45266,-0.444884,0.553920,-0.8032
第 75 次,2020-2026,X1,587521,-0.443654,0.570231,-0.7780
第 75 次,2020-2026,X2,288218,-0.306314,0.510027,-0.6006
第 75 次,2020-2026,X3,92634,-0.368660,0.508063,-0.7256
第 76 次,2015-2019,X1,300679,-0.525202,0.614754,-0.8543
第 76 次,2015-2019,X2,152756,-0.337426,0.547129,-0.6167
第 76 次,2015-2019,X3,45106,-0.442461,0.559657,-0.7906
第 76 次,2020-2026,X1,588161,-0.444909,0.569360,-0.7814
第 76 次,2020-2026,X2,288244,-0.306450,0.512347,-0.5981
第 76 次,2020-2026,X3,92698,-0.368755,0.511930,-0.7203
第 77 次,2015-2019,X1,300123,-0.525114,0.614009,-0.8552
第 77 次,2015-2019,X2,152537,-0.336615,0.545697,-0.6169
第 77 次,2015-2019,X3,44859,-0.440928,0.555037,-0.7944
第 77 次,2020-2026,X1,587938,-0.444390,0.570344,-0.7792
第 77 次,2020-2026,X2,287765,-0.307549,0.512105,-0.6006
第 77 次,2020-2026,X3,92333,-0.371012,0.515350,-0.7199
第 78 次,2015-2019,X1,299916,-0.526002,0.613721,-0.8571
第 78 次,2015-2019,X2,152711,-0.336258,0.545840,-0.6160
第 78 次,2015-2019,X3,45118,-0.440657,0.552207,-0.7980
第 78 次,2020-2026,X1,587397,-0.445112,0.570560,-0.7801
第 78 次,2020-2026,X2,288910,-0.305393,0.510772,-0.5979
第 78 次,2020-2026,X3,92416,-0.366182,0.509167,-0.7192
第 79 次,2015-2019,X1,300627,-0.524790,0.614394,-0.8542
第 79 次,2015-2019,X2,152563,-0.336184,0.546235,-0.6155
第 79 次,2015-2019,X3,45087,-0.442324,0.553716,-0.7988
第 79 次,2020-2026,X1,587756,-0.444223,0.569826,-0.7796
第 79 次,2020-2026,X2,287808,-0.307373,0.512416,-0.5999
第 79 次,2020-2026,X3,92146,-0.370337,0.512302,-0.7229
第 80 次,2015-2019,X1,300183,-0.526751,0.616977,-0.8538
第 80 次,2015-2019,X2,152708,-0.338662,0.548019,-0.6180
第 80 次,2015-2019,X3,44997,-0.436368,0.554609,-0.7868
第 80 次,2020-2026,X1,586716,-0.444326,0.567622,-0.7828
第 80 次,2020-2026,X2,288574,-0.305981,0.509779,-0.6002
第 80 次,2020-2026,X3,92998,-0.366176,0.511750,-0.7155
第 81 次,2015-2019,X1,300413,-0.525442,0.613341,-0.8567
第 81 次,2015-2019,X2,152972,-0.336307,0.546686,-0.6152
第 81 次,2015-2019,X3,45132,-0.445561,0.560699,-0.7947
第 81 次,2020-2026,X1,587346,-0.444812,0.569731,-0.7807
第 81 次,2020-2026,X2,288210,-0.306547,0.511772,-0.5990
第 81 次,2020-2026,X3,92479,-0.369171,0.512540,-0.7203
第 82 次,2015-2019,X1,300302,-0.526132,0.615001,-0.8555
第 82 次,2015-2019,X2,152553,-0.335371,0.547041,-0.6131
第 82 次,2015-2019,X3,44810,-0.443700,0.554824,-0.7997
第 82 次,2020-2026,X1,588048,-0.444781,0.569908,-0.7804
第 82 次,2020-2026,X2,288530,-0.305474,0.512178,-0.5964
第 82 次,2020-2026,X3,92364,-0.365679,0.508351,-0.7193
第 83 次,2015-2019,X1,299946,-0.525877,0.613962,-0.8565
第 83 次,2015-2019,X2,152914,-0.335549,0.546039,-0.6145
第 83 次,2015-2019,X3,45125,-0.441279,0.554519,-0.7958
第 83 次,2020-2026,X1,588109,-0.444161,0.569983,-0.7793
第 83 次,2020-2026,X2,287926,-0.305340,0.510700,-0.5979
第 83 次,2020-2026,X3,92868,-0.372066,0.512387,-0.7261
第 84 次,2015-2019,X1,300564,-0.525537,0.612707,-0.8577
第 84 次,2015-2019,X2,152763,-0.337415,0.549436,-0.6141
第 84 次,2015-2019,X3,45319,-0.440367,0.558775,-0.7881
第 84 次,2020-2026,X1,588981,-0.444866,0.569840,-0.7807
第 84 次,2020-2026,X2,288499,-0.306209,0.510968,-0.5993
第 84 次,2020-2026,X3,92366,-0.368905,0.512199,-0.7202
第 85 次,2015-2019,X1,301155,-0.525493,0.614520,-0.8551
第 85 次,2015-2019,X2,152950,-0.336673,0.546015,-0.6166
第 85 次,2015-2019,X3,44902,-0.440073,0.554774,-0.7932
第 85 次,2020-2026,X1,588186,-0.444004,0.569257,-0.7800
第 85 次,2020-2026,X2,287713,-0.307001,0.511765,-0.5999
第 85 次,2020-2026,X3,92410,-0.367235,0.510206,-0.7198
第 86 次,2015-2019,X1,301023,-0.526893,0.615918,-0.8555
第 86 次,2015-2019,X2,152605,-0.337546,0.548015,-0.6159
第 86 次,2015-2019,X3,44884,-0.440563,0.555313,-0.7934
第 86 次,2020-2026,X1,587547,-0.443921,0.570253,-0.7785
第 86 次,2020-2026,X2,288051,-0.306160,0.511238,-0.5989
第 86 次,2020-2026,X3,92575,-0.372645,0.511823,-0.7281
第 87 次,2015-2019,X1,301023,-0.525066,0.613305,-0.8561
第 87 次,2015-2019,X2,153351,-0.335908,0.546962,-0.6141
第 87 次,2015-2019,X3,45193,-0.444788,0.560028,-0.7942
第 87 次,2020-2026,X1,588298,-0.445035,0.570184,-0.7805
第 87 次,2020-2026,X2,288886,-0.305463,0.510808,-0.5980
第 87 次,2020-2026,X3,92270,-0.370537,0.511535,-0.7244
第 88 次,2015-2019,X1,300217,-0.526390,0.615783,-0.8548
第 88 次,2015-2019,X2,152411,-0.336044,0.547384,-0.6139
第 88 次,2015-2019,X3,44984,-0.440606,0.556689,-0.7915
第 88 次,2020-2026,X1,587731,-0.444365,0.570338,-0.7791
第 88 次,2020-2026,X2,287474,-0.306144,0.511986,-0.5980
第 88 次,2020-2026,X3,92763,-0.368537,0.510797,-0.7215
第 89 次,2015-2019,X1,300806,-0.525016,0.615034,-0.8536
第 89 次,2015-2019,X2,152389,-0.336421,0.546096,-0.6160
第 89 次,2015-2019,X3,45051,-0.441585,0.555915,-0.7943
第 89 次,2020-2026,X1,588275,-0.443667,0.568737,-0.7801
第 89 次,2020-2026,X2,287741,-0.306489,0.511579,-0.5991
第 89 次,2020-2026,X3,92477,-0.373258,0.516616,-0.7225
第 90 次,2015-2019,X1,300721,-0.528262,0.615333,-0.8585
第 90 次,2015-2019,X2,153222,-0.334658,0.547229,-0.6115
第 90 次,2015-2019,X3,45077,-0.438586,0.554699,-0.7907
第 90 次,2020-2026,X1,588126,-0.444705,0.569880,-0.7803
第 90 次,2020-2026,X2,287860,-0.306000,0.512517,-0.5971
第 90 次,2020-2026,X3,92159,-0.367115,0.508957,-0.7213
第 91 次,2015-2019,X1,300546,-0.524273,0.612918,-0.8554
第 91 次,2015-2019,X2,152707,-0.335246,0.545429,-0.6146
第 91 次,2015-2019,X3,45275,-0.443755,0.556813,-0.7970
第 91 次,2020-2026,X1,588273,-0.443783,0.569240,-0.7796
第 91 次,2020-2026,X2,288536,-0.306984,0.512203,-0.5993
第 91 次,2020-2026,X3,92391,-0.371095,0.512907,-0.7235
第 92 次,2015-2019,X1,300625,-0.525186,0.614043,-0.8553
第 92 次,2015-2019,X2,152357,-0.338770,0.549564,-0.6164
第 92 次,2015-2019,X3,45206,-0.440415,0.553574,-0.7956
第 92 次,2020-2026,X1,587783,-0.443547,0.568477,-0.7802
第 92 次,2020-2026,X2,287812,-0.306597,0.511334,-0.5996
第 92 次,2020-2026,X3,91753,-0.372188,0.514296,-0.7237
第 93 次,2015-2019,X1,300371,-0.525324,0.612281,-0.8580
第 93 次,2015-2019,X2,152904,-0.334987,0.548296,-0.6110
第 93 次,2015-2019,X3,44844,-0.440919,0.558471,-0.7895
第 93 次,2020-2026,X1,588627,-0.443670,0.568678,-0.7802
第 93 次,2020-2026,X2,287845,-0.306398,0.510737,-0.5999
第 93 次,2020-2026,X3,92530,-0.367482,0.509730,-0.7209
第 94 次,2015-2019,X1,300212,-0.526267,0.614072,-0.8570
第 94 次,2015-2019,X2,153067,-0.335421,0.546983,-0.6132
第 94 次,2015-2019,X3,45292,-0.438661,0.553391,-0.7927
第 94 次,2020-2026,X1,587926,-0.444291,0.569835,-0.7797
第 94 次,2020-2026,X2,288030,-0.306034,0.511548,-0.5983
第 94 次,2020-2026,X3,92808,-0.370973,0.513163,-0.7229
第 95 次,2015-2019,X1,300163,-0.525093,0.612247,-0.8576
第 95 次,2015-2019,X2,153358,-0.337745,0.546397,-0.6181
第 95 次,2015-2019,X3,45364,-0.442104,0.550950,-0.8024
第 95 次,2020-2026,X1,588522,-0.444815,0.571068,-0.7789
第 95 次,2020-2026,X2,287876,-0.306949,0.512381,-0.5991
第 95 次,2020-2026,X3,92330,-0.368027,0.509292,-0.7226
第 96 次,2015-2019,X1,300450,-0.524513,0.613716,-0.8547
第 96 次,2015-2019,X2,152344,-0.337615,0.544859,-0.6196
第 96 次,2015-2019,X3,44664,-0.443559,0.560068,-0.7920
第 96 次,2020-2026,X1,587260,-0.444029,0.568826,-0.7806
第 96 次,2020-2026,X2,287999,-0.307754,0.513812,-0.5990
第 96 次,2020-2026,X3,92653,-0.371019,0.513161,-0.7230
第 97 次,2015-2019,X1,301027,-0.525418,0.613879,-0.8559
第 97 次,2015-2019,X2,152784,-0.336991,0.548089,-0.6148
第 97 次,2015-2019,X3,45159,-0.445081,0.559316,-0.7958
第 97 次,2020-2026,X1,588521,-0.444685,0.570211,-0.7799
第 97 次,2020-2026,X2,287547,-0.305905,0.511672,-0.5979
第 97 次,2020-2026,X3,92445,-0.368575,0.511829,-0.7201
第 98 次,2015-2019,X1,301091,-0.526641,0.614940,-0.8564
第 98 次,2015-2019,X2,153487,-0.338055,0.546419,-0.6187
第 98 次,2015-2019,X3,45053,-0.443306,0.557938,-0.7945
第 98 次,2020-2026,X1,587864,-0.445117,0.570117,-0.7807
第 98 次,2020-2026,X2,287650,-0.306943,0.511560,-0.6000
第 98 次,2020-2026,X3,92245,-0.368349,0.509139,-0.7235
第 99 次,2015-2019,X1,300826,-0.525263,0.613586,-0.8561
第 99 次,2015-2019,X2,152516,-0.334355,0.546847,-0.6114
第 99 次,2015-2019,X3,44964,-0.438860,0.556339,-0.7888
第 99 次,2020-2026,X1,588147,-0.444273,0.570186,-0.7792
第 99 次,2020-2026,X2,287823,-0.306680,0.513195,-0.5976
第 99 次,2020-2026,X3,92692,-0.369107,0.510357,-0.7232
第 100 次,2015-2019,X1,300409,-0.526620,0.615748,-0.8553
第 100 次,2015-2019,X2,152704,-0.335893,0.546423,-0.6147
第 100 次,2015-2019,X3,44704,-0.442077,0.554564,-0.7972
第 100 次,2020-2026,X1,587137,-0.443634,0.569897,-0.7784
第 100 次,2020-2026,X2,288140,-0.306176,0.511327,-0.5988
第 100 次,2020-2026,X3,92509,-0.369301,0.511118,-0.7225
第 101 次,2015-2019,X1,300921,-0.525677,0.615015,-0.8547
第 101 次,2015-2019,X2,152862,-0.336485,0.547818,-0.6142
第 101 次,2015-2019,X3,44854,-0.441332,0.553082,-0.7979
第 101 次,2020-2026,X1,586724,-0.443824,0.568775,-0.7803
第 101 次,2020-2026,X2,289268,-0.305391,0.512025,-0.5964
第 101 次,2020-2026,X3,92715,-0.368315,0.512549,-0.7186
第 102 次,2015-2019,X1,300845,-0.526246,0.614982,-0.8557
第 102 次,2015-2019,X2,151967,-0.337300,0.548411,-0.6150
第 102 次,2015-2019,X3,44871,-0.441987,0.560078,-0.7892
第 102 次,2020-2026,X1,588122,-0.443213,0.569125,-0.7788
第 102 次,2020-2026,X2,287803,-0.305311,0.509661,-0.5990
第 102 次,2020-2026,X3,92469,-0.371394,0.515170,-0.7209
第 103 次,2015-2019,X1,300628,-0.524964,0.615721,-0.8526
第 103 次,2015-2019,X2,152270,-0.335428,0.544282,-0.6163
第 103 次,2015-2019,X3,44903,-0.445095,0.557732,-0.7980
第 103 次,2020-2026,X1,587468,-0.445167,0.570554,-0.7802
第 103 次,2020-2026,X2,287936,-0.307154,0.512620,-0.5992
第 103 次,2020-2026,X3,92536,-0.372785,0.515936,-0.7225
第 104 次,2015-2019,X1,301422,-0.525850,0.614410,-0.8559
第 104 次,2015-2019,X2,152521,-0.337631,0.544954,-0.6196
第 104 次,2015-2019,X3,45042,-0.437659,0.551224,-0.7940
第 104 次,2020-2026,X1,587707,-0.443734,0.570402,-0.7779
第 104 次,2020-2026,X2,287938,-0.305421,0.511577,-0.5970
第 104 次,2020-2026,X3,92657,-0.368369,0.510755,-0.7212
第 105 次,2015-2019,X1,299788,-0.524266,0.612901,-0.8554
第 105 次,2015-2019,X2,152763,-0.337449,0.546531,-0.6174
第 105 次,2015-2019,X3,44838,-0.442691,0.557152,-0.7946
第 105 次,2020-2026,X1,587955,-0.444354,0.569955,-0.7796
第 105 次,2020-2026,X2,288650,-0.305377,0.509742,-0.5991
第 105 次,2020-2026,X3,93107,-0.368464,0.510486,-0.7218
第 106 次,2015-2019,X1,300574,-0.527570,0.613862,-0.8594
第 106 次,2015-2019,X2,153520,-0.336614,0.550521,-0.6114
第 106 次,2015-2019,X3,45353,-0.439822,0.554490,-0.7932
第 106 次,2020-2026,X1,587106,-0.445258,0.571272,-0.7794
第 106 次,2020-2026,X2,288368,-0.307864,0.513247,-0.5998
第 106 次,2020-2026,X3,93001,-0.367066,0.507574,-0.7232
第 107 次,2015-2019,X1,300339,-0.525645,0.614272,-0.8557
第 107 次,2015-2019,X2,152645,-0.338301,0.547368,-0.6181
第 107 次,2015-2019,X3,45099,-0.444034,0.557936,-0.7959
第 107 次,2020-2026,X1,586901,-0.443443,0.569414,-0.7788
第 107 次,2020-2026,X2,287828,-0.307009,0.510413,-0.6015
第 107 次,2020-2026,X3,92569,-0.371137,0.513432,-0.7229
第 108 次,2015-2019,X1,300265,-0.524258,0.614512,-0.8531
第 108 次,2015-2019,X2,152671,-0.336134,0.544808,-0.6170
第 108 次,2015-2019,X3,44955,-0.443347,0.561688,-0.7893
第 108 次,2020-2026,X1,587613,-0.443362,0.568830,-0.7794
第 108 次,2020-2026,X2,288516,-0.307144,0.513377,-0.5983
第 108 次,2020-2026,X3,93051,-0.369977,0.511922,-0.7227
第 109 次,2015-2019,X1,300794,-0.524693,0.613741,-0.8549
第 109 次,2015-2019,X2,152515,-0.337861,0.547785,-0.6168
第 109 次,2015-2019,X3,44868,-0.443335,0.555141,-0.7986
第 109 次,2020-2026,X1,586258,-0.445489,0.570326,-0.7811
第 109 次,2020-2026,X2,288427,-0.307266,0.510776,-0.6016
第 109 次,2020-2026,X3,92695,-0.371678,0.512956,-0.7246
第 110 次,2015-2019,X1,300447,-0.526328,0.613818,-0.8575
第 110 次,2015-2019,X2,153111,-0.335176,0.545759,-0.6141
第 110 次,2015-2019,X3,45019,-0.442063,0.557433,-0.7930
第 110 次,2020-2026,X1,588799,-0.443442,0.569839,-0.7782
第 110 次,2020-2026,X2,288144,-0.308758,0.511956,-0.6031
第 110 次,2020-2026,X3,92835,-0.368283,0.511455,-0.7201
第 111 次,2015-2019,X1,300755,-0.526762,0.613816,-0.8582
第 111 次,2015-2019,X2,152971,-0.333908,0.547132,-0.6103
第 111 次,2015-2019,X3,45292,-0.438038,0.550434,-0.7958
第 111 次,2020-2026,X1,587726,-0.443591,0.569268,-0.7792
第 111 次,2020-2026,X2,287333,-0.307733,0.511922,-0.6011
第 111 次,2020-2026,X3,92159,-0.370239,0.511853,-0.7233
第 112 次,2015-2019,X1,300140,-0.526579,0.615372,-0.8557
第 112 次,2015-2019,X2,153474,-0.335786,0.546421,-0.6145
第 112 次,2015-2019,X3,45445,-0.436242,0.550301,-0.7927
第 112 次,2020-2026,X1,587215,-0.444247,0.569060,-0.7807
第 112 次,2020-2026,X2,288294,-0.306537,0.511877,-0.5988
第 112 次,2020-2026,X3,92593,-0.369860,0.509833,-0.7255
第 113 次,2015-2019,X1,301001,-0.527286,0.615688,-0.8564
第 113 次,2015-2019,X2,151866,-0.337485,0.547007,-0.6170
第 113 次,2015-2019,X3,45081,-0.440445,0.556522,-0.7914
第 113 次,2020-2026,X1,588372,-0.444553,0.569607,-0.7805
第 113 次,2020-2026,X2,288264,-0.307193,0.512790,-0.5991
第 113 次,2020-2026,X3,92224,-0.369476,0.509834,-0.7247
第 114 次,2015-2019,X1,301017,-0.525357,0.614852,-0.8544
第 114 次,2015-2019,X2,152510,-0.333049,0.543958,-0.6123
第 114 次,2015-2019,X3,45301,-0.436710,0.552028,-0.7911
第 114 次,2020-2026,X1,587657,-0.444498,0.571132,-0.7783
第 114 次,2020-2026,X2,287993,-0.306883,0.513074,-0.5981
第 114 次,2020-2026,X3,92456,-0.370712,0.512133,-0.7239
第 115 次,2015-2019,X1,300546,-0.524556,0.614165,-0.8541
第 115 次,2015-2019,X2,152974,-0.336341,0.546798,-0.6151
第 115 次,2015-2019,X3,45134,-0.441888,0.551991,-0.8005
第 115 次,2020-2026,X1,588229,-0.444065,0.569324,-0.7800
第 115 次,2020-2026,X2,288607,-0.306148,0.511814,-0.5982
第 115 次,2020-2026,X3,92615,-0.371170,0.514830,-0.7210
第 116 次,2015-2019,X1,300829,-0.526232,0.614740,-0.8560
第 116 次,2015-2019,X2,152388,-0.335807,0.547544,-0.6133
第 116 次,2015-2019,X3,45009,-0.445578,0.558617,-0.7976
第 116 次,2020-2026,X1,587275,-0.443504,0.569774,-0.7784
第 116 次,2020-2026,X2,287898,-0.306361,0.512066,-0.5983
第 116 次,2020-2026,X3,92671,-0.369935,0.512023,-0.7225
第 117 次,2015-2019,X1,300400,-0.525581,0.615388,-0.8541
第 117 次,2015-2019,X2,152831,-0.336900,0.548830,-0.6139
第 117 次,2015-2019,X3,45068,-0.439916,0.555663,-0.7917
第 117 次,2020-2026,X1,587847,-0.443578,0.568065,-0.7809
第 117 次,2020-2026,X2,288446,-0.306330,0.512176,-0.5981
第 117 次,2020-2026,X3,92796,-0.371624,0.514073,-0.7229
第 118 次,2015-2019,X1,300072,-0.527378,0.616212,-0.8558
第 118 次,2015-2019,X2,153230,-0.334819,0.546904,-0.6122
第 118 次,2015-2019,X3,45275,-0.440903,0.553286,-0.7969
第 118 次,2020-2026,X1,587195,-0.445314,0.569590,-0.7818
第 118 次,2020-2026,X2,289250,-0.306388,0.511402,-0.5991
第 118 次,2020-2026,X3,92568,-0.371582,0.512435,-0.7251
第 119 次,2015-2019,X1,300955,-0.525984,0.614080,-0.8565
第 119 次,2015-2019,X2,152863,-0.336670,0.546986,-0.6155
第 119 次,2015-2019,X3,44897,-0.441925,0.557751,-0.7923
第 119 次,2020-2026,X1,586458,-0.444500,0.570582,-0.7790
第 119 次,2020-2026,X2,287915,-0.305883,0.510221,-0.5995
第 119 次,2020-2026,X3,92695,-0.368661,0.511021,-0.7214
第 120 次,2015-2019,X1,301383,-0.526378,0.614701,-0.8563
第 120 次,2015-2019,X2,152386,-0.336936,0.546515,-0.6165
第 120 次,2015-2019,X3,44885,-0.440767,0.555723,-0.7931
第 120 次,2020-2026,X1,587903,-0.443832,0.568860,-0.7802
第 120 次,2020-2026,X2,288011,-0.306867,0.513827,-0.5972
第 120 次,2020-2026,X3,92203,-0.372944,0.514689,-0.7246
第 121 次,2015-2019,X1,300098,-0.525384,0.615289,-0.8539
第 121 次,2015-2019,X2,152500,-0.334237,0.544100,-0.6143
第 121 次,2015-2019,X3,45121,-0.445355,0.560892,-0.7940
第 121 次,2020-2026,X1,588101,-0.444838,0.570350,-0.7799
第 121 次,2020-2026,X2,288279,-0.304992,0.509873,-0.5982
第 121 次,2020-2026,X3,92668,-0.369398,0.514496,-0.7180
第 122 次,2015-2019,X1,300886,-0.524320,0.613105,-0.8552
第 122 次,2015-2019,X2,153224,-0.336072,0.546985,-0.6144
第 122 次,2015-2019,X3,45214,-0.442756,0.553169,-0.8004
第 122 次,2020-2026,X1,587508,-0.446018,0.569930,-0.7826
第 122 次,2020-2026,X2,288114,-0.306192,0.511455,-0.5987
第 122 次,2020-2026,X3,92652,-0.369517,0.511738,-0.7221
第 123 次,2015-2019,X1,301305,-0.525529,0.612197,-0.8584
第 123 次,2015-2019,X2,153118,-0.335879,0.548279,-0.6126
第 123 次,2015-2019,X3,44853,-0.441514,0.557751,-0.7916
第 123 次,2020-2026,X1,587412,-0.443265,0.568986,-0.7790
第 123 次,2020-2026,X2,288722,-0.305827,0.510153,-0.5995
第 123 次,2020-2026,X3,92819,-0.370835,0.510955,-0.7258
第 124 次,2015-2019,X1,300863,-0.526216,0.614544,-0.8563
第 124 次,2015-2019,X2,152434,-0.336168,0.545948,-0.6157
第 124 次,2015-2019,X3,45028,-0.438082,0.554557,-0.7900
第 124 次,2020-2026,X1,587432,-0.443437,0.568576,-0.7799
第 124 次,2020-2026,X2,288128,-0.305618,0.511247,-0.5978
第 124 次,2020-2026,X3,92242,-0.368534,0.508959,-0.7241
第 125 次,2015-2019,X1,300117,-0.526017,0.613112,-0.8579
第 125 次,2015-2019,X2,152766,-0.337323,0.547059,-0.6166
第 125 次,2015-2019,X3,44813,-0.439539,0.554752,-0.7923
第 125 次,2020-2026,X1,588092,-0.443703,0.570129,-0.7782
第 125 次,2020-2026,X2,288164,-0.307117,0.512729,-0.5990
第 125 次,2020-2026,X3,92680,-0.369008,0.510864,-0.7223
第 126 次,2015-2019,X1,300693,-0.524041,0.613343,-0.8544
第 126 次,2015-2019,X2,152177,-0.337306,0.546767,-0.6169
第 126 次,2015-2019,X3,44781,-0.445084,0.556444,-0.7999
第 126 次,2020-2026,X1,587583,-0.444562,0.570000,-0.7799
第 126 次,2020-2026,X2,288532,-0.304715,0.510740,-0.5966
第 126 次,2020-2026,X3,92901,-0.368666,0.510317,-0.7224
第 127 次,2015-2019,X1,300464,-0.524729,0.614542,-0.8539
第 127 次,2015-2019,X2,152956,-0.337726,0.548167,-0.6161
第 127 次,2015-2019,X3,45152,-0.442502,0.560748,-0.7891
第 127 次,2020-2026,X1,587609,-0.444266,0.570969,-0.7781
第 127 次,2020-2026,X2,287899,-0.304693,0.510609,-0.5967
第 127 次,2020-2026,X3,92212,-0.368658,0.512734,-0.7190
第 128 次,2015-2019,X1,300569,-0.524677,0.614963,-0.8532
第 128 次,2015-2019,X2,152811,-0.337655,0.547492,-0.6167
第 128 次,2015-2019,X3,45091,-0.444428,0.557022,-0.7979
第 128 次,2020-2026,X1,588350,-0.444914,0.569828,-0.7808
第 128 次,2020-2026,X2,288578,-0.305769,0.511600,-0.5977
第 128 次,2020-2026,X3,92815,-0.369131,0.513390,-0.7190
第 129 次,2015-2019,X1,300679,-0.525900,0.613724,-0.8569
第 129 次,2015-2019,X2,152493,-0.335044,0.544770,-0.6150
第 129 次,2015-2019,X3,44899,-0.439663,0.560359,-0.7846
第 129 次,2020-2026,X1,587245,-0.444833,0.569499,-0.7811
第 129 次,2020-2026,X2,287605,-0.306900,0.511030,-0.6006
第 129 次,2020-2026,X3,92496,-0.368955,0.512140,-0.7204
第 130 次,2015-2019,X1,300255,-0.525451,0.613685,-0.8562
第 130 次,2015-2019,X2,153012,-0.336789,0.545859,-0.6170
第 130 次,2015-2019,X3,45226,-0.439026,0.555083,-0.7909
第 130 次,2020-2026,X1,588303,-0.444660,0.569384,-0.7810
第 130 次,2020-2026,X2,288345,-0.305469,0.510002,-0.5990
第 130 次,2020-2026,X3,92505,-0.368545,0.511183,-0.7210
第 131 次,2015-2019,X1,301211,-0.523327,0.612233,-0.8548
第 131 次,2015-2019,X2,152644,-0.337207,0.548504,-0.6148
第 131 次,2015-2019,X3,44873,-0.441456,0.559407,-0.7891
第 131 次,2020-2026,X1,588369,-0.445728,0.571331,-0.7802
第 131 次,2020-2026,X2,288509,-0.306242,0.510370,-0.6000
第 131 次,2020-2026,X3,92771,-0.367797,0.511478,-0.7191
第 132 次,2015-2019,X1,300198,-0.526106,0.614314,-0.8564
第 132 次,2015-2019,X2,153090,-0.334998,0.545944,-0.6136
第 132 次,2015-2019,X3,45476,-0.443847,0.557875,-0.7956
第 132 次,2020-2026,X1,586846,-0.445212,0.570711,-0.7801
第 132 次,2020-2026,X2,288437,-0.306422,0.512003,-0.5985
第 132 次,2020-2026,X3,93461,-0.372543,0.515259,-0.7230
第 133 次,2015-2019,X1,300279,-0.525405,0.613858,-0.8559
第 133 次,2015-2019,X2,153049,-0.338443,0.549544,-0.6159
第 133 次,2015-2019,X3,45024,-0.446561,0.563028,-0.7931
